ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
164;NACIONAL;LORETO;PUTUMAYO;TENIENTE MANUEL CLAVERO;IEPS N 6010104 TENIENTE EJERCITO RUIZ GARCIA RUIZ;63111;0;0;0;0;97;0;97;273
165;NACIONAL;LORETO;UCAYALI;CONTAMANA;"I.E.I CUNA JARDIN N° 212 ""NIÑO JESUS""";62726;0;0;0;0;217;0;217;300
166;NACIONAL;MADRE DE DIOS;MANU;MADRE DE DIOS;IE BASICA REGULAR BOCA COLORADO;902559;0;0;0;0;193;0;193;293
167;NACIONAL;MOQUEGUA;MARISCAL NIETO;SAN CRISTOBAL;IE MIGUEL CONSTANTINIDES ROSADO;902569;206;0;206;0;4;0;210;271
168;NACIONAL;PIURA;HUANCABAMBA;SAN MIGUEL DE EL FAIQUE;IE SAN MIGUEL ARCANGEL;67153;0;0;0;0;300;0;300;300
169;NACIONAL;PIURA;MORROPON;SALITRAL;IE. JORGE BASADRE;67483;0;0;0;0;300;0;300;300
170;NACIONAL;PIURA;PAITA;PAITA;IE 14739 ELISEO ALCIDES BERNAL LA SERNA;67732;0;0;0;0;249;0;249;300
171;NACIONAL;PIURA;PIURA;CASTILLA;IE PARROQUIAL NIÑO JESUS DE PRAGA;65516;0;0;0;0;169;0;169;300
172;NACIONAL;PIURA;PIURA;CASTILLA;IEP IDEPUNP;65423;0;0;0;0;253;0;253;300
173;NACIONAL;PIURA;PIURA;CATACAOS;IEP SANTA MARIA;65647;0;0;0;0;40;0;40;300
174;NACIONAL;PIURA;PIURA;CURA MORI;CRFA LAS CAPULLANAS;66215;0;0;0;0;244;0;244;300
175;NACIONAL;PIURA;PIURA;CURA MORI;IE 14053;66229;0;0;0;0;232;0;232;300
176;NACIONAL;PIURA;PIURA;LA ARENA;IE 14123;65758;0;0;0;0;231;0;231;300
177;NACIONAL;PIURA;PIURA;LA UNION;IEP SANTA BERNARDITA;65842;0;0;0;0;63;0;63;285
178;NACIONAL;PIURA;PIURA;LA UNION;MINI COLISEO DEPORTIVO MUNICIPAL LA UNION;65836;0;0;0;0;238;0;238;300
179;NACIONAL;PIURA;PIURA;PIURA;20124;64956;0;0;0;0;235;0;235;300
180;NACIONAL;PIURA;TALARA;MANCORA;IE 14917 MICAELA BASTIDAS - SECUNDARIA;69053;0;0;0;0;246;0;246;300
181;NACIONAL;PUNO;AZANGARO;ASILLO;IEP 72005 SAN MARTIN DE PORRES;70028;205;0;205;0;8;0;213;300
182;NACIONAL;PUNO;AZANGARO;ASILLO;IEP 72005 SAN MARTIN DE PORRES;70030;222;0;222;0;5;0;227;300
183;NACIONAL;PUNO;AZANGARO;ASILLO;IEP 72005 SAN MARTIN DE PORRES;70034;198;1;199;0;9;0;208;300
184;NACIONAL;PUNO;AZANGARO;ASILLO;IES SAN GERONIMO;70007;252;1;253;1;12;0;266;300
185;NACIONAL;PUNO;AZANGARO;ASILLO;IES SAN GERONIMO;70012;255;1;256;0;8;0;264;300
186;NACIONAL;PUNO;AZANGARO;AZANGARO;IEP 72017;69878;243;0;243;0;11;0;254;300
187;NACIONAL;PUNO;AZANGARO;AZANGARO;IES INA 21 JOSE DOMINGO CHOQUEHUANCA;69901;265;1;266;0;7;0;273;300
188;NACIONAL;PUNO;AZANGARO;AZANGARO;IES PRIVADA CERMAT SCHOOL;69913;249;1;250;0;2;0;252;300
189;NACIONAL;PUNO;AZANGARO;AZANGARO;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO AZANGARO;69951;237;1;238;1;5;0;244;300
190;NACIONAL;PUNO;AZANGARO;AZANGARO;INSTITUTO SUPERIOR PEDAGOGICO PUBLICO AZANGARO;69957;219;0;219;0;8;0;227;300
191;NACIONAL;PUNO;AZANGARO;CHUPA;IEP 72125;70048;240;0;240;0;6;0;246;300
192;NACIONAL;PUNO;AZANGARO;CHUPA;IES Nº 125 CHUPA;70058;227;0;227;0;6;0;233;300
193;NACIONAL;PUNO;AZANGARO;CHUPA;IES Nº 125 CHUPA;70066;214;0;214;0;19;0;233;300
194;NACIONAL;PUNO;AZANGARO;SAMAN;IES SAN AGUSTIN;70111;246;0;246;0;17;0;263;295
195;NACIONAL;PUNO;AZANGARO;SAN JOSE;IES SAN JOSE;70156;184;1;185;1;0;0;186;258
