ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
153;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IE SECUNDARIA MIXTO AGROPECUARIA JOSE CARLOS MARIATEGUI;15841;205;0;205;1;8;0;214;300
154;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IEP 56270 SANTA ROSA;15826;171;2;173;2;3;0;178;270
155;NACIONAL;CUSCO;CHUMBIVILCAS;LLUSCO;IEP 56270 SANTA ROSA;15827;155;2;157;0;2;0;159;269
156;NACIONAL;CUSCO;CHUMBIVILCAS;QUIÑOTA;IE 56272 MILAGROSO SEÑOR DE HUANCA;15844;215;2;217;2;4;0;223;296
157;NACIONAL;CUSCO;CHUMBIVILCAS;QUIÑOTA;IE 56272 MILAGROSO SEÑOR DE HUANCA;15845;199;1;200;2;3;0;205;296
158;NACIONAL;CUSCO;CHUMBIVILCAS;QUIÑOTA;IE 56272 MILAGROSO SEÑOR DE HUANCA;15847;224;2;226;1;9;0;236;296
159;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE 56319 ROSA DE SANTA MARIA;15702;151;1;152;1;5;0;158;264
160;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE ANTERO EFRAIN UGARTE VIZCARRA;901126;193;1;194;5;6;0;205;265
161;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE ANTERO EFRAIN UGARTE VIZCARRA;901129;184;2;186;0;16;0;202;264
162;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE EMBLEMATICO SANTO TOMAS;15709;200;2;202;0;7;0;209;300
163;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE EMBLEMATICO SANTO TOMAS;15717;211;2;213;0;5;0;218;300
164;NACIONAL;CUSCO;CHUMBIVILCAS;SANTO TOMAS;IE EMBLEMATICO SANTO TOMAS;15719;201;1;202;3;13;0;218;300
165;NACIONAL;CUSCO;CHUMBIVILCAS;VELILLE;IE 56275 TUPAC AMARU II;15867;217;2;219;1;4;0;224;300
166;NACIONAL;CUSCO;CHUMBIVILCAS;VELILLE;IE JUAN DE DIOS VALENCIA;15856;192;2;194;1;6;0;201;286
167;NACIONAL;CUSCO;CHUMBIVILCAS;VELILLE;IE JUAN DE DIOS VALENCIA;15861;189;2;191;1;5;0;197;286
168;NACIONAL;CUSCO;CUSCO;CUSCO;50019;13949;0;0;0;0;245;0;245;300
169;NACIONAL;CUSCO;CUSCO;SANTIAGO;IE GRAN MARISCAL ANDRES AVELINO CACERES;14482;175;0;175;55;14;0;244;300
170;NACIONAL;CUSCO;ESPINAR;COPORAQUE;I.E.N. 501392 MACHUPUENTE;901156;223;1;224;3;4;0;231;276
171;NACIONAL;CUSCO;ESPINAR;COPORAQUE;IE 56182 INTEGRADO HORACIO ZEVALLOS GAMEZ DE COPORAQUE PRIMARIA;15953;204;2;206;0;11;0;217;300
172;NACIONAL;CUSCO;ESPINAR;PALLPATA;IE COLEGIO NACIONAL HECTOR TEJADA;15976;216;2;218;0;17;0;235;281
173;NACIONAL;CUSCO;LA CONVENCION;ECHARATE;IE 50243;16156;158;2;160;0;0;0;160;300
174;NACIONAL;CUSCO;LA CONVENCION;VILCABAMBA;50276 AMAUTA;16275;106;2;108;2;1;0;111;264
175;NACIONAL;CUSCO;LA CONVENCION;VILCABAMBA;IE 50322 MANCO INCA DE PUCYURA;16292;196;2;198;0;19;0;217;300
176;NACIONAL;CUSCO;PARURO;OMACHA;IE JEC OSCCOLLOPATA;901236;166;2;168;1;11;0;180;252
177;NACIONAL;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;16529;173;0;173;3;6;0;182;283
178;NACIONAL;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;16531;167;2;169;2;0;0;171;282
179;NACIONAL;CUSCO;PARURO;OMACHA;IES SAN ISIDRO OMACHA;16532;168;1;169;4;6;0;179;282
180;NACIONAL;CUSCO;PAUCARTAMBO;CHALLABAMBA;50426 FRAY MARTIN DE PORRES;16615;172;2;174;1;2;0;177;288
181;NACIONAL;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;IE 50477;16703;0;0;0;0;212;0;212;300
182;NACIONAL;CUSCO;QUISPICANCHI;OCONGATE;SAGRADO CORAZON DE JESUS;16838;203;1;204;0;6;0;210;283
183;NACIONAL;CUSCO;QUISPICANCHI;OCONGATE;SAGRADO CORAZON DE JESUS;16839;189;0;189;0;14;0;203;282
184;NACIONAL;CUSCO;QUISPICANCHI;QUIQUIJANA;CANCHA SINTETICA DE LA MUNICIPALIDAD DE QUIQUIJANA;16881;198;1;199;0;2;0;201;300
185;NACIONAL;CUSCO;QUISPICANCHI;QUIQUIJANA;JOSE CARLOS MARIATEGUI;16887;247;0;247;1;0;0;248;300
186;NACIONAL;CUSCO;URUBAMBA;CHINCHERO;IE PARTICULAR ALTERNATIVO YACHAY;16953;224;0;224;0;23;0;247;298
187;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17501;205;2;207;0;17;0;224;300
188;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17502;182;2;184;0;13;0;197;300
189;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17503;201;1;202;1;20;0;223;300
190;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36217;17504;200;0;200;0;5;0;205;300
191;NACIONAL;HUANCAVELICA;ANGARAES;ANCHONGA;IE 36297;901373;189;2;191;0;1;0;192;213
192;NACIONAL;HUANCAVELICA;ANGARAES;SECCLLA;ANDRES AVELINO CACERES;17544;184;2;186;0;4;0;190;270
193;NACIONAL;HUANCAVELICA;CASTROVIRREYNA;CHUPAMARCA;IE TUPAC AMARU DE CHANCAHUASI;901383;190;2;192;1;1;0;194;260
194;NACIONAL;HUANCAVELICA;CHURCAMPA;COSME;IE 30979 THOMAS ALVA EDISON;17992;0;0;0;0;83;0;83;275
195;NACIONAL;HUANCAVELICA;HUANCAVELICA;ACORIA;I.E.S. JOSE GALVEZ EGUSQUIZA;17194;152;2;154;0;3;0;157;300
