ID;Ambito;Departamento/Continente;Provincia/Pais;Distrito/Estado;Localidad/Embajada;Mesa;Peru Libre;Fuerza Popular;Total Validos;Voto Blanco;Voto Nulo;Voto Impugnado;Total Votos;Electores Habiles
176;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82129;0;2;2;0;0;0;2;
177;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82130;0;2;2;0;0;0;2;
178;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82167;0;0;0;0;0;0;0;
179;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82168;0;0;0;0;0;0;0;
180;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82192;0;0;0;0;0;0;0;
181;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82193;0;0;0;0;0;0;0;
182;EXTRANJERO;AMERICA;VENEZUELA;VALENCIA;HOTEL EXECUTIVE SUITES VALENCIA;82194;0;0;0;0;0;0;0;
183;EXTRANJERO;ASIA;ARABIA SAUDITA;RIAD;EMBAJADA DEL PERÚ EN EL REINO DE ARABIA SAUDITA;82336;0;0;0;0;0;0;0;
184;EXTRANJERO;ASIA;INDIA;NUEVA DELHI;EMBAJADA DEL PERÚ EN INDIA;82205;0;4;4;0;0;0;4;
185;EXTRANJERO;ASIA;JAPON;OKINAWA;NAHA SHI TEMBUSU KAN;82248;0;36;36;3;0;0;39;
186;EXTRANJERO;ASIA;KUWAIT;AL - KUWAIT;EMBAJADA DEL PERÚ EN KUWAIT;82340;0;0;0;0;0;0;0;
187;EXTRANJERO;ASIA;LIBANO;BEIRUT;CONSULADO HONORARIO DEL PERÚ EN BEIRUT;82330;0;0;0;0;0;0;0;
188;EXTRANJERO;ASIA;MALASIA;KUALA LUMPUR;RESIDENCIA OFICIAL DE LA EMBAJADA DEL PERÚ EN KUALA LUMPUR;82341;0;5;5;0;0;0;5;
189;EXTRANJERO;ASIA;REPUBLICA POPULAR CHINA;GUANGZHOU;CONSULADO GENERAL DEL PERÚ EN GUANGZHOU;82204;0;15;15;0;1;0;16;
